game_id,bet_date,bet_type,teams,market_line,model_line,edge,recommended_bet
18446819,2025-10-21,Spread,HOU @ OKC,OKC +1.5,OKC +0.8,-0.7107743492672622,OKC +1.5
18446819,2025-10-21,Total,HOU @ OKC,249.5,257.1,7.574265678354379,Over 249.5
18446820,2025-10-21,Spread,GSW @ LAL,LAL +9.5,LAL +9.1,-0.3798867980722296,LAL +9.5
18446820,2025-10-21,Total,GSW @ LAL,232.5,229.8,-2.6557162285869538,Under 232.5
18446821,2025-10-22,Spread,CLE @ NYK,NYK -7.5,NYK -7.7,-0.24354052848811047,NYK -7.5
18446821,2025-10-22,Total,CLE @ NYK,231.5,230.9,-0.6221381214467385,Under 231.5
18446822,2025-10-22,Spread,SAS @ DAL,DAL +32.5,DAL +32.1,-0.3798867980722278,DAL +32.5
18446822,2025-10-22,Total,SAS @ DAL,218.5,218.3,-0.1566242542944849,Under 218.5
18446823,2025-10-22,Spread,BKN @ CHA,CHA -21.5,CHA -21.4,0.1438096993601654,BKN +21.5
18446823,2025-10-22,Total,BKN @ CHA,253.5,252.2,-1.259944772378418,Under 253.5
18446824,2025-10-22,Spread,MIA @ ORL,ORL -2.5,ORL -2.7,-0.24354052848811003,ORL -2.5
18446824,2025-10-22,Total,MIA @ ORL,246.5,243.8,-2.6594213501953448,Under 246.5
18446825,2025-10-22,Spread,TOR @ ATL,ATL +19.5,ATL +19.1,-0.3798867980722278,ATL +19.5
18446825,2025-10-22,Total,TOR @ ATL,255.5,252.7,-2.782837693503126,Under 255.5
18446826,2025-10-22,Spread,PHI @ BOS,BOS +1.5,BOS +0.8,-0.7107743492672622,BOS +1.5
18446826,2025-10-22,Total,PHI @ BOS,230.5,233.2,2.69680633203825,Over 230.5
18446827,2025-10-22,Spread,DET @ CHI,CHI -3.5,CHI -3.7,-0.24354052848811003,CHI -3.5
18446827,2025-10-22,Total,DET @ CHI,226.5,226.1,-0.3892021594961079,Under 226.5
18446828,2025-10-22,Spread,NOP @ MEM,MEM -5.5,MEM -5.7,-0.24354052848811047,MEM -5.5
18446828,2025-10-22,Total,NOP @ MEM,249.5,249.1,-0.3907414044673203,Under 249.5
18446829,2025-10-22,Spread,WAS @ MIL,MIL -13.5,MIL -13.4,0.1438096993601654,WAS +13.5
18446829,2025-10-22,Total,WAS @ MIL,254.5,253.1,-1.4075030579712973,Under 254.5
18446830,2025-10-22,Spread,LAC @ UTA,UTA -21.5,UTA -21.4,0.1438096993601654,LAC +21.5
18446830,2025-10-22,Total,LAC @ UTA,238.5,237.6,-0.8753211044220564,Under 238.5
18446831,2025-10-22,Spread,SAC @ PHX,PHX -4.5,PHX -4.7,-0.24354052848811047,PHX -4.5
18446831,2025-10-22,Total,SAC @ PHX,234.5,234.8,0.3321590236488987,Over 234.5
18446832,2025-10-22,Spread,MIN @ POR,POR +3.5,POR +2.8,-0.710774349267262,POR +3.5
18446832,2025-10-22,Total,MIN @ POR,233.5,228.8,-4.668753082306097,Under 233.5
18446833,2025-10-23,Spread,OKC @ IND,IND +5.5,IND +4.1,-1.3672292915805055,IND +5.5
18446833,2025-10-23,Total,OKC @ IND,279.5,277.7,-1.8230068793131409,Under 279.5
18446834,2025-10-23,Spread,DEN @ GSW,GSW -7.5,GSW -6.8,0.6702623090438999,DEN +7.5
18446834,2025-10-23,Total,DEN @ GSW,267.5,264.5,-3.044625192565718,Under 267.5
18446835,2025-10-24,Spread,BOS @ NYK,NYK -9.5,NYK -9.5,-0.047499431724997265,NYK -9.5
18446835,2025-10-24,Total,BOS @ NYK,203.5,194.0,-9.506080352909521,Under 203.5
