game_id,bet_date,bet_type,teams,market_line,model_line,edge,recommended_bet
18447299,2026-01-02,Total,MEM @ LAL,238.5,261.5,23.013765453445387,Over 238.5
18447294,2026-01-02,Total,ORL @ CHI,235.5,238.8,3.255367735430013,Over 235.5
18447291,2026-01-02,Total,BKN @ WAS,225.5,227.6,2.114796862146619,Over 225.5
18447292,2026-01-02,Total,DEN @ CLE,236.5,235.2,-1.322665067652082,Under 236.5
18447293,2026-01-02,Total,ATL @ NYK,246.5,237.4,-9.10166478037064,Under 246.5
18447290,2026-01-02,Total,SAS @ IND,236.5,239.8,3.255367735430013,Over 236.5
18447295,2026-01-02,Total,CHA @ MIL,233.5,226.4,-7.104026183941528,Under 233.5
18447296,2026-01-02,Total,POR @ NOP,243.5,245.7,2.2152455064712058,Over 243.5
18447297,2026-01-02,Total,SAC @ PHX,227.5,224.8,-2.687295289557113,Under 227.5
18447298,2026-01-02,Total,OKC @ GSW,228.5,222.1,-6.447378060138618,Under 228.5
18447289,2026-01-01,Total,UTA @ LAC,232.5,227.8,-4.675540872370533,Under 232.5
18447288,2026-01-01,Total,BOS @ SAC,229.5,216.3,-13.179011879179114,Under 229.5
18447287,2026-01-01,Total,PHI @ DAL,230.5,227.9,-2.630799398669865,Under 230.5
18447286,2026-01-01,Total,MIA @ DET,236.5,253.0,16.50089285829901,Over 236.5
18447285,2026-01-01,Total,HOU @ BKN,218.5,210.6,-7.877372360537322,Under 218.5
18447280,2025-12-31,Total,NOP @ CHI,256.5,255.5,-0.9887863898454156,Under 256.5
18447276,2025-12-31,Total,GSW @ CHA,257.5,257.6,0.1069595150300983,Over 257.5
18447277,2025-12-31,Total,MIN @ ATL,224.5,223.7,-0.7946779206142196,Under 224.5
18447278,2025-12-31,Total,ORL @ IND,226.5,235.9,9.374610203667658,Over 226.5
18447279,2025-12-31,Total,PHX @ CLE,246.5,246.2,-0.3192627307924169,Under 246.5
18447283,2025-12-31,Total,WAS @ MIL,229.5,225.2,-4.279826340808711,Under 229.5
18447281,2025-12-31,Total,NYK @ SAS,258.5,253.6,-4.939301690389044,Under 258.5
18447282,2025-12-31,Total,DEN @ TOR,210.5,197.6,-12.861351331162496,Under 210.5
18447284,2025-12-31,Total,POR @ OKC,225.5,224.5,-1.038511100629762,Under 225.5
18447275,2025-12-30,Total,SAC @ LAC,220.5,210.5,-10.005895513888843,Under 220.5
18447274,2025-12-30,Total,DET @ LAL,236.5,234.9,-1.627262255959721,Under 236.5
18447273,2025-12-30,Total,BOS @ UTA,253.5,251.6,-1.942818942521228,Under 253.5
18447272,2025-12-30,Total,PHI @ MEM,278.5,264.4,-14.07228808845457,Under 278.5
18447266,2025-12-29,Total,MIN @ CHI,238.5,243.4,4.939995707219111,Over 238.5
18447261,2025-12-29,Total,MIL @ CHA,239.5,238.7,-0.7965248431246152,Under 239.5
18447262,2025-12-29,Total,PHX @ WAS,220.5,204.9,-15.59028726541581,Under 220.5
18447263,2025-12-29,Total,GSW @ BKN,231.5,232.8,1.3267521794526829,Over 231.5
18447264,2025-12-29,Total,DEN @ MIA,271.5,270.9,-0.6111776327468874,Under 271.5
18447265,2025-12-29,Total,ORL @ TOR,219.5,216.4,-3.0847719712578225,Under 219.5
18447267,2025-12-29,Total,IND @ HOU,240.5,241.1,0.6365324011125608,Over 240.5
18447268,2025-12-29,Total,NYK @ NOP,256.5,264.4,7.8895537212935665,Over 256.5
18447269,2025-12-29,Total,ATL @ OKC,275.5,273.9,-1.621955822385928,Under 275.5
18447270,2025-12-29,Total,CLE @ SAS,217.5,240.5,22.978563425937462,Over 217.5
18447271,2025-12-29,Total,DAL @ POR,252.5,265.7,13.239569188909286,Over 252.5
18447260,2025-12-28,Total,SAC @ LAL,228.5,223.6,-4.872563451362936,Under 228.5
18447259,2025-12-28,Total,DET @ LAC,215.5,211.6,-3.916671616704576,Under 215.5
18447258,2025-12-28,Total,BOS @ POR,221.5,210.3,-11.199030115852937,Under 221.5
18447257,2025-12-28,Total,MEM @ WAS,231.5,229.3,-2.167273775397831,Under 231.5
18447256,2025-12-28,Total,PHI @ OKC,234.5,231.4,-3.1499277147490545,Under 234.5
18447255,2025-12-28,Total,GSW @ TOR,268.5,264.5,-3.9577303803779382,Under 268.5
18447250,2025-12-27,Total,IND @ MIA,261.5,260.5,-0.9747554523987104,Under 261.5
18447246,2025-12-27,Total,DAL @ SAC,222.5,215.7,-6.818238533275888,Under 222.5
18447247,2025-12-27,Total,DEN @ ORL,248.5,285.9,37.39982038500216,Over 248.5
18447248,2025-12-27,Total,PHX @ NOP,231.5,233.4,1.876857979939388,Over 231.5
18447249,2025-12-27,Total,NYK @ ATL,253.5,247.3,-6.189745501156779,Under 253.5
18447251,2025-12-27,Total,MIL @ CHI,213.5,203.6,-9.927930036751974,Under 213.5
18447252,2025-12-27,Total,CLE @ HOU,212.5,211.6,-0.8944131847757433,Under 212.5
18447253,2025-12-27,Total,BKN @ MIN,229.5,226.3,-3.2468941993886347,Under 229.5
18447254,2025-12-27,Total,UTA @ SAS,246.5,242.4,-4.1250971187469645,Under 246.5
18447245,2025-12-26,Total,LAC @ POR,220.5,210.7,-9.792788794996568,Under 220.5
18447244,2025-12-26,Total,DET @ UTA,261.5,253.4,-8.149303108154498,Under 261.5
18447243,2025-12-26,Total,PHX @ NOP,241.5,246.3,4.760626515041707,Over 241.5
18447242,2025-12-26,Total,MIL @ MEM,233.5,236.5,2.9878647666216693,Over 233.5
18447241,2025-12-26,Total,PHI @ CHI,218.5,213.1,-5.354515348524785,Under 218.5
18447240,2025-12-26,Total,BOS @ IND,255.5,255.8,0.2856283144064377,Over 255.5
18447239,2025-12-26,Total,TOR @ WAS,259.5,259.0,-0.4698686740379685,Under 259.5
18447238,2025-12-26,Total,CHA @ ORL,225.5,221.6,-3.852752590698543,Under 225.5
18447237,2025-12-26,Total,MIA @ ATL,238.5,238.5,0.0364917868224097,Over 238.5
18447232,2025-12-25,Total,CLE @ NYK,245.5,244.8,-0.7167813447606477,Under 245.5
18447234,2025-12-25,Total,DAL @ GSW,240.5,244.6,4.051170655683563,Over 240.5
18447233,2025-12-25,Total,SAS @ OKC,220.5,218.0,-2.490671186379956,Under 220.5
18447236,2025-12-25,Total,MIN @ DEN,258.5,261.0,2.477149552899675,Over 258.5
18447235,2025-12-25,Total,HOU @ LAL,213.5,197.7,-15.842184541046834,Under 213.5
18447225,2025-12-23,Total,NYK @ MIN,218.5,214.0,-4.464867840425228,Under 218.5
18447218,2025-12-23,Total,WAS @ CHA,236.5,235.9,-0.638644361046687,Under 236.5
18447219,2025-12-23,Total,BKN @ PHI,220.5,213.5,-6.987105472022876,Under 220.5
18447220,2025-12-23,Total,CHI @ ATL,249.5,250.6,1.1162877172577057,Over 249.5
18447221,2025-12-23,Total,NOP @ CLE,260.5,260.9,0.4050571622046277,Over 260.5
18447222,2025-12-23,Total,MIL @ IND,204.5,190.5,-13.97410365036052,Under 204.5
18447223,2025-12-23,Total,TOR @ MIA,203.5,187.1,-16.37229493161064,Under 203.5
18447224,2025-12-23,Total,DEN @ DAL,266.5,256.7,-9.79118447357365,Under 266.5
18447226,2025-12-23,Total,OKC @ SAS,233.5,231.3,-2.171579000974873,Under 233.5
18447227,2025-12-23,Total,LAL @ PHX,242.5,243.2,0.6657916770221277,Over 242.5
18447228,2025-12-23,Total,MEM @ UTA,267.5,260.3,-7.181957047318235,Under 267.5
18447229,2025-12-23,Total,ORL @ POR,224.5,211.2,-13.33857407328739,Under 224.5
18447230,2025-12-23,Total,DET @ SAC,262.5,264.0,1.527025243697608,Over 262.5
18447231,2025-12-23,Total,HOU @ LAC,235.5,232.8,-2.6886903094400054,Under 235.5
18447214,2025-12-22,Total,UTA @ DEN,251.5,247.8,-3.673390741362198,Under 251.5
18447211,2025-12-22,Total,CHA @ CLE,270.5,267.6,-2.889084314940078,Under 270.5
18447212,2025-12-22,Total,IND @ BOS,201.5,245.6,44.12896652055187,Over 201.5
18447213,2025-12-22,Total,DAL @ NOP,229.5,228.7,-0.8387433748473825,Under 229.5
18447217,2025-12-22,Total,DET @ POR,219.5,218.8,-0.6972516699564153,Under 219.5
18447215,2025-12-22,Total,MEM @ OKC,223.5,225.4,1.9219865602345865,Over 223.5
18447216,2025-12-22,Total,ORL @ GSW,219.5,210.4,-9.067855558632829,Under 219.5
18447210,2025-12-21,Total,HOU @ SAC,249.5,240.9,-8.57154254110975,Under 249.5
18447209,2025-12-21,Total,MIL @ MIN,202.5,192.5,-9.968720545455028,Under 202.5
18447208,2025-12-21,Total,SAS @ WAS,239.5,238.6,-0.8884863927387983,Under 239.5
18447207,2025-12-21,Total,MIA @ NYK,255.5,255.1,-0.3846270873983428,Under 255.5
18447206,2025-12-21,Total,TOR @ BKN,181.5,235.7,54.23277710954613,Over 181.5
18447205,2025-12-21,Total,CHI @ ATL,254.5,276.9,22.393958478664278,Over 254.5
18447199,2025-12-20,Total,CHA @ DET,201.5,203.3,1.7989495034664742,Over 201.5
18447195,2025-12-20,Total,HOU @ DEN,217.5,223.5,6.004791934403272,Over 217.5
18447196,2025-12-20,Total,DAL @ PHI,240.5,237.7,-2.7830363230425803,Under 240.5
18447197,2025-12-20,Total,BOS @ TOR,215.5,217.8,2.257317512338034,Over 215.5
18447198,2025-12-20,Total,IND @ NOP,236.5,237.7,1.201268644601072,Over 236.5
