,coef_abs
ortg_r30_delta,1.8260060722363276
tov_pct_r30_delta,1.3159286861755768
ortg_r10_delta,1.0428097860813192
orb_pct_r30_delta,1.0273358861971746
efg_r30_delta,0.8255474870445328
drtg_blend_delta,0.819135900071639
pace_est_r10_delta,0.5968688153611968
netrtg_r10_delta,0.5397413408507389
tov_pct_r10_delta,0.44898837056809
ftr_r10_delta,0.42973086766975316
efg_r10_delta,0.2684105437117147
pace_est_r30_delta,0.22255659455003604
rest_diff,0.17496702486883742
orb_pct_r10_delta,0.1332569308575817
ts_r10_delta,0.12795249522615418
ts_r30_delta,0.11576014905022458
ftr_r30_delta,0.0976648558561005
netrtg_r30_delta,0.03393313876493462
home_indicator,0.0
