,corr_abs
netrtg_r10_delta,0.26667005692016393
netrtg_r30_delta,0.2614041061855681
pace_est_r30_delta,0.23999760423675842
pace_est_r10_delta,0.2343350064117946
drtg_blend_delta,0.22465620985786466
ortg_r30_delta,0.20032219814147836
orb_pct_r10_delta,0.1947761728973012
ortg_r10_delta,0.18479415544756259
tov_pct_r30_delta,0.17018307482990772
orb_pct_r30_delta,0.15427433354821984
efg_r30_delta,0.11195886806909908
ts_r30_delta,0.10296332038279796
efg_r10_delta,0.09294704152566395
ts_r10_delta,0.08864067131509992
tov_pct_r10_delta,0.057049009341069656
ftr_r30_delta,0.05548443189080684
rest_diff,0.03365947586758194
ftr_r10_delta,0.02003267150064074
home_indicator,0.0
