,coef_abs
ortg_r10_sum,34.360312365775584
pace_est_r10_sum,33.648522279994545
pace_est_r30_sum,28.237043317226323
tov_pct_r10_mean,22.39457085065039
ts_r30_mean,16.249579643104333
efg_r30_mean,15.966291412017526
orb_pct_r30_mean,14.474925374177548
tov_pct_r30_mean,14.350608680460224
efg_r10_mean,12.418672563666426
ts_r10_mean,12.353655630691158
ortg_r30_sum,9.008379834999667
orb_pct_r10_mean,3.8014711141574846
ftr_r30_mean,1.831184671109884
ftr_r10_mean,1.662556199856826
rest_sum,0.0530066733113979
