,corr_abs
ftr_r30_mean,0.16614064551025068
pace_est_r10_sum,0.11913006591738239
orb_pct_r30_mean,0.11314192925496142
tov_pct_r30_mean,0.09647956279219513
ftr_r10_mean,0.08061554386576705
orb_pct_r10_mean,0.07131292590783903
ts_r10_mean,0.04838617345001198
efg_r10_mean,0.04423384294302042
efg_r30_mean,0.0334838767117652
pace_est_r30_sum,0.033210003948139125
ortg_r10_sum,0.029287274481166702
rest_sum,0.012778375063360582
ortg_r30_sum,0.008482880794716118
tov_pct_r10_mean,0.005506399958800595
ts_r30_mean,0.0009393338433389323
